⺁	〔※󰃼※󰄋※󰄋※※☯rtt※〕
賧	〔※󰃛※󰃩※󰃩※󰁶☯mooy※〕
賨	〔※󰃰※󰂭※󰃅※󰃛☯pfim※〕
賩	〔※󰃛※󰃰※󰂭※󰃅☯mpfi※〕
質	〔※󰄀※󰄀※󰃛※󰁧☯rrmu※〕
賫	〔※󰂱※󰄤※󰄤※󰃛☯fwwm※〕
賬	〔※󰃛※󰀍※󰀖※󰁶☯mdey※〕
賭	〔※󰃛※󰂮※󰄋※󰃊☯mftj※〕
賮	〔※󰁬※󰂺※󰂶※󰃛☯vhgm※〕
賯	〔※󰃛※󰃷※󰃊※󰂍☯mqjb※〕
賰	〔※󰃛※󰂜※󰄤※󰃊☯mdwj※〕
賱	〔※󰃛※󰃱※󰃗※󰀢☯mplh※〕
賲	〔※󰄥※󰃏※󰄅※󰃛☯wksm※〕
賳	〔※󰃛※󰂱※󰂇※󰃏☯mfak※〕
賴	〔※󰄅※󰃏※󰃸※󰃛☯skqm※〕
賵	〔※󰃛※󰀰※󰂼※󰀝☯mjhg※〕
賶	〔※󰃛※󰄤※󰄼※󰃏☯mwyk※〕
賷	〔※󰂱※󰃏※󰃏※󰃛☯fkkm※〕
賸	〔※󰂧※󰄒※󰂹※󰃛☯eugm※〕
賹	〔※󰃛※󰄕※󰄦※󰃕☯muwl※〕
賺	〔※󰃛※󰄕※󰁬※󰄦☯muvw※〕
賻	〔※󰃛※󰄊※󰂳※󰁶☯msfy※〕
購	〔※󰃛※󰀀※󰃜※󰂮☯mamf※〕
賽	〔※󰃰※󰀀※󰄦※󰃛☯pawm※〕
賾	〔※󰂋※󰂺※󰃏※󰃛☯ahkm※〕
賿	〔※󰃛※󰃥※󰄤※󰂥☯mnwe※〕
贀	〔※󰂋※󰁿※󰂝※󰃛☯atdm※〕
贁	〔※󰃛※󰃛※󰄏※󰁶☯mmty※〕
贂	〔※󰃛※󰂙※󰂙※󰂥☯mcce※〕
贃	〔※󰃛※󰃏※󰃏※󰃢☯mkkn※〕
贄	〔※󰂮※󰄕※󰂱※󰃛☯fufm※〕
贅	〔※󰁽※󰁡※󰄏※󰃛☯gqtm※〕
贆	〔※󰃛※󰂣※󰂣※󰂣☯mddd※〕
贇	〔※󰄷※󰂶※󰀁※󰃛☯ygam※〕
贈	〔※󰃛※󰄒※󰀺※󰃊☯mulj※〕
贉	〔※󰃛※󰄈※󰃌※󰀢☯msjh※〕
贊	〔※󰄋※󰂮※󰁜※󰃛☯tfqm※〕
贋	〔※󰂡※󰄥※󰄥※󰃛☯dwwm※〕
贌	〔※󰃛※󰃬※󰄕※󰂹☯moug※〕
贍	〔※󰃛※󰃸※󰂡※󰄳☯mqdy※〕
贎	〔※󰃛※󰄖※󰃋※󰄼☯majy※〕
贏	〔※󰄹※󰂧※󰃛※󰄼☯yemy※〕
贐	〔※󰃛※󰁬※󰂺※󰃕☯mvhl※〕
贑	〔※󰄓※󰃌※󰂆※󰃛☯ujam※〕
贒	〔※󰂋※󰂺※󰁃※󰃛☯ahnm※〕
贓	〔※󰃛※󰂇※󰄗※󰂺☯mauh※〕
贔	〔※󰃛※󰃛※󰃛※󰁧☯mmmu※〕
贕	〔※󰁚※󰄼※󰄋※󰃛☯qytm※〕
贖	〔※󰃛※󰂯※󰃔※󰃛☯mflm※〕
贗	〔※󰂡※󰄥※󰁟※󰃛☯dwqm※〕
贘	〔※󰃛※󰃆※󰃱※󰃛☯mipm※〕
贙	〔※󰃀※󰄨※󰃀※󰃛☯hwhm※〕
贚	〔※󰃛※󰄓※󰂧※󰂜☯mued※〕
贛	〔※󰄓※󰃌※󰄐※󰃛☯ujtm※〕
贜	〔※󰃛※󰄖※󰂇※󰂺☯maah※〕
贝	〔※󰃚※󰂺※󰁈※󰄼☯mhny※〕
贞	〔※󰀥※󰃚※󰁧※※☯hmu※〕
负	〔※󰃸※󰃚※󰁧※※☯qmu※〕
贠	〔※󰂙※󰃚※󰁧※※☯cmu※〕
贡	〔※󰂆※󰃚※󰁧※※☯amu※〕
财	〔※󰃚※󰀛※󰄋※󰁥☯mftt※〕
责	〔※󰁽※󰃚※󰁧※※☯gmu※〕
贤	〔※󰀭※󰂘※󰃚※󰁧☯jcmu※〕
败	〔※󰃚※󰄏※󰁶※※☯mty※〕
账	〔※󰃚※󰄋※󰀃※󰂃☯mtay※〕
货	〔※󰄥※󰁳※󰃚※󰁧☯wxmu※〕
质	〔※󰃼※󰂱※󰃚※󰀦☯rfmi※〕
贩	〔※󰃚※󰃼※󰂘※󰁶☯mrcy※〕
贪	〔※󰄤※󰄼※󰃦※󰃚☯wynm※〕
贫	〔※󰄦※󰄠※󰃚※󰁧☯wvmu※〕
贬	〔※󰃚※󰄋※󰃭※󰁶☯mtpy※〕
购	〔※󰃚※󰃷※󰂙※󰁶☯mqcy※〕
贮	〔※󰃚※󰃰※󰂶※󰀝☯mpgg※〕
贯	〔※󰄯※󰃚※󰁧※※☯xmu※〕
贰	〔※󰀁※󰂭※󰃚※󰄼☯afmy※〕
贱	〔※󰃚※󰂶※󰂇※󰁶☯mgay※〕
贲	〔※󰂱※󰄖※󰃚※󰁧☯famu※〕
贳	〔※󰂊※󰄃※󰃚※󰁧☯anmu※〕
贴	〔※󰃚※󰀥※󰃏※󰀝☯mhkg※〕
贵	〔※󰃏※󰂺※󰂶※󰃚☯khgm※〕
贶	〔※󰃚※󰃏※󰃺※󰁀☯mkqn※〕
贷	〔※󰄥※󰀁※󰄼※󰃚☯waym※〕
贸	〔※󰁚※󰄼※󰄠※󰃚☯qyvm※〕
费	〔※󰄬※󰀯※󰃚※󰁧☯xjmu※〕
贺	〔※󰂫※󰃏※󰃚※󰁧☯ekmu※〕
贻	〔※󰃚※󰂙※󰃏※󰀝☯mckg※〕
贼	〔※󰃚※󰂇※󰁼※󰁥☯madt※〕
贽	〔※󰃿※󰄡※󰄼※󰃚☯rvym※〕
贾	〔※󰄈※󰃚※󰁧※※☯smu※〕
贿	〔※󰃚※󰁼※󰂧※󰀝☯mdeg※〕
赀	〔※󰂾※󰄮※󰃚※󰁧☯hxmu※〕
赁	〔※󰄥※󰄋※󰂯※󰃚☯wtfm※〕
赂	〔※󰃚※󰄐※󰃏※󰀝☯mtkg※〕
赃	〔※󰃚※󰃫※󰂮※󰀝☯mofg※〕
资	〔※󰄑※󰄾※󰄤※󰃚☯uqwm※〕
赅	〔※󰃚※󰄶※󰂂※󰄤☯mynw※〕
赆	〔※󰃚※󰃡※󰂃※󰁦☯mnyu※〕
赇	〔※󰃚※󰂶※󰃃※󰄼☯mgiy※〕
赈	〔※󰃚※󰂡※󰂭※󰀖☯mdfe※〕
赉	〔※󰂶※󰄒※󰄅※󰃚☯gusm※〕
赊	〔※󰃚※󰄤※󰂭※󰃅☯mwfi※〕
赋	〔※󰃚※󰂶※󰀁※󰄼☯mgay※〕
赌	〔※󰃚※󰂮※󰄋※󰃊☯mftj※〕
赍	〔※󰂱※󰄤※󰄤※󰃚☯fwwm※〕
赎	〔※󰃚※󰂱※󰃦※󰂝☯mfnd※〕
赏	〔※󰃆※󰃱※󰃏※󰃚☯ipkm※〕
赐	〔※󰃚※󰃋※󰃷※󰁤☯mjqr※〕
赑	〔※󰃚※󰃚※󰃚※󰁧☯mmmu※〕
赒	〔※󰃚※󰀼※󰂮※󰃏☯mmfk※〕
赓	〔※󰃫※󰁬※󰄤※󰃚☯ovwm※〕
赔	〔※󰃚※󰄓※󰃏※󰀝☯mukg※〕
赕	〔※󰃚※󰃩※󰃩※󰁶☯mooy※〕
赖	〔※󰄅※󰃏※󰃸※󰃚☯skqm※〕
赗	〔※󰃚※󰀰※󰂼※󰀝☯mjhg※〕
赘	〔※󰁽※󰁡※󰄏※󰃚☯gqtm※〕
赙	〔※󰃚※󰄊※󰂳※󰁶☯msfy※〕
赚	〔※󰃚※󰄕※󰁬※󰄦☯muvw※〕
赛	〔※󰃰※󰀀※󰄦※󰃚☯pawm※〕
赜	〔※󰂋※󰂺※󰃏※󰃚☯ahkm※〕
赝	〔※󰂡※󰄥※󰄥※󰃚☯dwwm※〕
赞	〔※󰄋※󰂮※󰃺※󰃚☯tfqm※〕
赟	〔※󰄷※󰂶※󰀁※󰃚☯ygam※〕
赠	〔※󰃚※󰄒※󰀺※󰃊☯mulj※〕
赡	〔※󰃚※󰃸※󰂡※󰄳☯mqdy※〕
赢	〔※󰄹※󰂧※󰃚※󰄼☯yemy※〕
赣	〔※󰄓※󰃌※󰄐※󰃚☯ujtm※〕
赤	〔※󰂮※󰁖※󰁧※※☯fou※〕
赥	〔※󰂮※󰁖※󰄾※󰄤☯foqw※〕
赦	〔※󰂮※󰁖※󰄏※󰁶☯foty※〕
赧	〔※󰂮※󰁖※󰀈※󰂘☯fobc※〕
赨	〔※󰂮※󰁖※󰃍※󰁶☯fojy※〕
赩	〔※󰂮※󰁖※󰃸※󰂚☯foqc※〕
赪	〔※󰂮※󰁖※󰀥※󰃚☯fohm※〕
赫	〔※󰂮※󰁖※󰂮※󰁖☯fofo※〕
赬	〔※󰂮※󰁖※󰀥※󰃛☯fohm※〕
赭	〔※󰂮※󰁖※󰂮※󰃋☯fofj※〕
赮	〔※󰂮※󰁖※󰁃※󰂘☯fonc※〕
赯	〔※󰂮※󰁖※󰃫※󰃏☯fook※〕
走	〔※󰂮※󰁾※󰁧※※☯fhu※〕
赱	〔※󰂮※󰄒※󰂃※󰁧☯fuyu※〕
赲	〔※󰂮※󰁾※󰂫※󰀏☯fhee※〕
赳	〔※󰂮※󰁾※󰁐※󰂺☯fhnh※〕
赴	〔※󰂮※󰁾※󰂿※󰀦☯fhhi※〕
赵	〔※󰂮※󰁾※󰄄※󰀦☯fhri※〕
赶	〔※󰂮※󰁾※󰂰※󰀵☯fhfk※〕
起	〔※󰂮※󰁾※󰃟※󰁫☯fhnv※〕
赸	〔※󰂮※󰁾※󰃘※󰀵☯fhmk※〕
赹	〔※󰂮※󰁾※󰃷※󰄑☯fhqu※〕
赺	〔※󰂮※󰁾※󰄤※󰃦☯fhwn※〕
赻	〔※󰂮※󰁾※󰃅※󰄋☯fhit※〕
赼	〔※󰂮※󰁾※󰄾※󰄤☯fhqw※〕
赽	〔※󰂮※󰁾※󰁄※󰄤☯fhnw※〕
赾	〔※󰂮※󰁾※󰄀※󰀵☯fhrk※〕
赿	〔※󰂮※󰁾※󰁚※󰀁☯fhqa※〕
趀	〔※󰂮※󰁾※󰄋※󰄋☯fhtt※〕
趁	〔※󰂮※󰁾※󰄤※󰂥☯fhwe※〕
趂	〔※󰂮※󰁾※󰄾※󰃅☯fhqi※〕
趃	〔※󰂮※󰁾※󰄋※󰂹☯fhtg※〕
趄	〔※󰂮※󰁾※󰀐※󰂶☯fheg※〕
超	〔※󰂮※󰁾※󰄠※󰃏☯fhvk※〕
趆	〔※󰂮※󰁾※󰁚※󰄼☯fhqy※〕
趇	〔※󰂮※󰁾※󰄓※󰀌☯fhud※〕
趈	〔※󰂮※󰁾※󰀥※󰃏☯fhhk※〕
趉	〔※󰂮※󰁾※󰂔※󰃘☯fhbm※〕
越	〔※󰂮※󰁾※󰂇※󰁐☯fhan※〕
趋	〔※󰂮※󰁾※󰃸※󰄢☯fhqv※〕
趌	〔※󰂮※󰁾※󰂯※󰃏☯fhfk※〕
趍	〔※󰂮※󰁾※󰃹※󰃹☯fhqq※〕
趎	〔※󰂮※󰁾※󰄋※󰂵☯fhtf※〕
趏	〔※󰂮※󰁾※󰄋※󰂟☯fhtd※〕
趐	〔※󰂮※󰁾※󰃥※󰀌☯fhnd※〕
趑	〔※󰂮※󰁾※󰄑※󰄤☯fhuw※〕
趒	〔※󰂮※󰁾※󰃺※󰀪☯fhqi※〕
趓	〔※󰂮※󰁾※󰄨※󰄅☯fhws※〕
趔	〔※󰂮※󰁾※󰂶※󰃉☯fhgj※〕
趕	〔※󰂮※󰁾※󰃋※󰂰☯fhjf※〕
趖	〔※󰂮※󰁾※󰄤※󰂮☯fhwf※〕
趗	〔※󰂮※󰁾※󰃏※󰁾☯fhkh※〕
趘	〔※󰂮※󰁾※󰃡※󰂬☯fhne※〕
趙	〔※󰂮※󰁾※󰃆※󰂧☯fhie※〕
趚	〔※󰂮※󰁾※󰄅※󰃏☯fhsk※〕
趛	〔※󰂮※󰁾※󰃴※󰀌☯fhqd※〕
趜	〔※󰂮※󰁾※󰃷※󰃪☯fhqo※〕
趝	〔※󰂮※󰁾※󰄤※󰃢☯fhwn※〕
趞	〔※󰂮※󰁾※󰁺※󰃊☯fhaj※〕
趟	〔※󰂮※󰁾※󰃆※󰃏☯fhik※〕
趠	〔※󰂮※󰁾※󰀥※󰃌☯fhhj※〕
趡	〔※󰂮※󰁾※󰄥※󰁷☯fhwy※〕
趢	〔※󰂮※󰁾※󰁭※󰃃☯fhvi※〕
趣	〔※󰂮※󰁾※󰂐※󰂘☯fhbc※〕
趤	〔※󰂮※󰁾※󰃰※󰂠☯fhpd※〕
趥	〔※󰂮※󰁾※󰄒※󰂶☯fhug※〕
趦	〔※󰂮※󰁾※󰄑※󰃏☯fhuk※〕
趧	〔※󰂮※󰁾※󰃊※󰁾☯fhjh※〕
趨	〔※󰂮※󰁾※󰃷※󰄋☯fhqt※〕
趩	〔※󰂮※󰁾※󰃐※󰄦☯fhlw※〕
趪	〔※󰂮※󰁾※󰁺※󰄦☯fhaw※〕
趫	〔※󰂮※󰁾※󰄋※󰃏☯fhtk※〕
趬	〔※󰂮※󰁾※󰂮※󰃺☯fhfq※〕
趭	〔※󰂮※󰁾※󰄥※󰃨☯fhwo※〕
趮	〔※󰂮※󰁾※󰃏※󰄅☯fhks※〕
趯	〔※󰂮※󰁾※󰃥※󰁷☯fhny※〕
趰	〔※󰂮※󰁾※󰂶※󰄄☯fhgr※〕
趱	〔※󰂮※󰁾※󰄋※󰃚☯fhtm※〕
趲	〔※󰂮※󰁾※󰄋※󰃛☯fhtm※〕
足	〔※󰃏※󰁾※󰁧※※☯khu※〕
趴	〔※󰃏※󰂾※󰄦※󰁶☯khwy※〕
趵	〔※󰃏※󰂾※󰃷※󰄼☯khqy※〕
趶	〔※󰃏※󰂾※󰂶※󰀛☯khgf※〕
趷	〔※󰃏※󰂾※󰁿※󰃝☯khtn※〕
趸	〔※󰂶※󰁡※󰃏※󰁾☯gqkh※〕
趹	〔※󰃏※󰂾※󰁄※󰄤☯khnw※〕
趺	〔※󰃏※󰂾※󰂹※󰁶☯khgy※〕
趻	〔※󰃏※󰂾※󰄤※󰃦☯khwn※〕
趼	〔※󰃏※󰂾※󰂶※󰂉☯khga※〕
趽	〔※󰃏※󰂾※󰄸※󰁥☯khyt※〕
趾	〔※󰃏※󰂾※󰂾※󰀝☯khhg※〕
趿	〔※󰃏※󰂾※󰂖※󰂃☯khby※〕
跀	〔※󰃏※󰂾※󰂧※󰀝☯kheg※〕
跁	〔※󰃏※󰂾※󰂚※󰁀☯khcn※〕
跂	〔※󰃏※󰂾※󰂱※󰂘☯khfc※〕
跃	〔※󰃏※󰂾※󰄋※󰂝☯khtd※〕
跄	〔※󰃏※󰂾※󰄤※󰂑☯khwb※〕
跅	〔※󰃏※󰂾※󰄀※󰄼☯khry※〕
跆	〔※󰃏※󰂾※󰂙※󰃏☯khck※〕
跇	〔※󰃏※󰂾※󰂊※󰄃☯khan※〕
跈	〔※󰃏※󰂾※󰄤※󰂥☯khwe※〕
跉	〔※󰃏※󰂾※󰄤※󰁻☯khwc※〕
跊	〔※󰃏※󰂾※󰂵※󰁶☯khfy※〕
跋	〔※󰃏※󰂾※󰁼※󰄼☯khdy※〕
跌	〔※󰃏※󰂾※󰄋※󰂹☯khtg※〕
跍	〔※󰃏※󰂾※󰂟※󰀝☯khdg※〕
跎	〔※󰃏※󰂾※󰃰※󰄮☯khpx※〕
跏	〔※󰃏※󰂾※󰂫※󰃏☯khek※〕
跐	〔※󰃏※󰂾※󰂾※󰄮☯khhx※〕
跑	〔※󰃏※󰂾※󰃷※󰃠☯khqn※〕
跒	〔※󰃏※󰂾※󰄆※󰃏☯khsk※〕
跓	〔※󰃏※󰂾※󰄼※󰂷☯khyg※〕
跔	〔※󰃏※󰂾※󰃷※󰃏☯khqk※〕
跕	〔※󰃏※󰂾※󰀥※󰃏☯khhk※〕
跖	〔※󰃏※󰂾※󰂠※󰀝☯khdg※〕
跗	〔※󰃏※󰂾※󰄥※󰂳☯khwf※〕
跘	〔※󰃏※󰂾※󰄒※󰀟☯khug※〕
跙	〔※󰃏※󰂾※󰀐※󰂶☯kheg※〕
跚	〔※󰃏※󰂾※󰀼※󰂶☯khmg※〕
跛	〔※󰃏※󰂾※󰂗※󰁶☯khby※〕
跜	〔※󰃏※󰂾※󰃡※󰄮☯khnx※〕
距	〔※󰃏※󰂾※󰂋※󰁃☯khan※〕
跞	〔※󰃏※󰂾※󰄋※󰃅☯khti※〕
跟	〔※󰃏※󰂾※󰄣※󰁶☯khvy※〕
跠	〔※󰃏※󰂾※󰂶※󰄤☯khgw※〕
跡	〔※󰃏※󰂾※󰄶※󰁖☯khyo※〕
跢	〔※󰃏※󰂾※󰃹※󰃹☯khqq※〕
跣	〔※󰃏※󰂾※󰄋※󰃺☯khtq※〕
跤	〔※󰃏※󰂾※󰄘※󰄄☯khur※〕
跥	〔※󰃏※󰂾※󰂖※󰄅☯khbs※〕
跦	〔※󰃏※󰂾※󰄋※󰂵☯khtf※〕
跧	〔※󰃏※󰂾※󰄤※󰂷☯khwg※〕
跨	〔※󰃏※󰂾※󰂝※󰁔☯khdn※〕
跩	〔※󰃏※󰂾※󰃋※󰄋☯khjt※〕
跪	〔※󰃏※󰂾※󰃸※󰂑☯khqb※〕
跫	〔※󰂆※󰄨※󰄼※󰁾☯awyh※〕
跬	〔※󰃏※󰂾※󰂮※󰂮☯khff※〕
跭	〔※󰃏※󰂾※󰄐※󰂅☯khtg※〕
跮	〔※󰃏※󰂾※󰂶※󰂮☯khgf※〕
路	〔※󰃏※󰂾※󰄐※󰃏☯khtk※〕
跰	〔※󰃏※󰂾※󰄕※󰂉☯khua※〕
跱	〔※󰃏※󰂾※󰂮※󰂳☯khff※〕
跲	〔※󰃏※󰂾※󰄤※󰃏☯khwk※〕
跳	〔※󰃏※󰂾※󰃺※󰀪☯khqi※〕
跴	〔※󰃏※󰂾※󰄇※󰀝☯khsg※〕
践	〔※󰃏※󰂾※󰂶※󰂇☯khga※〕
跶	〔※󰃏※󰂾※󰂝※󰃮☯khdp※〕
跷	〔※󰃏※󰂾※󰀁※󰃺☯khaq※〕
跸	〔※󰃏※󰂾※󰁴※󰂱☯khxf※〕
跹	〔※󰃏※󰂾※󰄋※󰃮☯khtp※〕
跺	〔※󰃏※󰂾※󰄨※󰄅☯khws※〕
跻	〔※󰃏※󰂾※󰄷※󰀯☯khyj※〕
跼	〔※󰃏※󰂾※󰃡※󰃏☯khnk※〕
跽	〔※󰃏※󰂾※󰃟※󰃢☯khnn※〕
跾	〔※󰄥※󰂺※󰄏※󰁾☯whth※〕
跿	〔※󰃏※󰂾※󰂮※󰁾☯khfh※〕
踀	〔※󰃏※󰂾※󰃏※󰁾☯khkh※〕
踁	〔※󰃏※󰂾※󰂶※󰂆☯khga※〕
踂	〔※󰃏※󰂾※󰂐※󰄻☯khbn※〕
踃	〔※󰃏※󰂾※󰃆※󰂧☯khie※〕
踄	〔※󰃏※󰂾※󰂾※󰀤☯khhh※〕
踅	〔※󰃿※󰄀※󰃏※󰁾☯rrkh※〕
踆	〔※󰃏※󰂾※󰂙※󰄐☯khct※〕
踇	〔※󰃏※󰂾※󰁿※󰄭☯khtx※〕
踈	〔※󰃏※󰂾※󰄅※󰃏☯khsk※〕
踉	〔※󰃏※󰂾※󰄼※󰄣☯khyv※〕
踊	〔※󰃏※󰂾※󰁻※󰀒☯khce※〕
踋	〔※󰃏※󰂾※󰂮※󰂕☯khfb※〕
踌	〔※󰃏※󰂾※󰂜※󰂳☯khdf※〕
踍	〔※󰃏※󰂾※󰂮※󰂍☯khfb※〕
踎	〔※󰃏※󰂾※󰂢※󰃏☯khdk※〕
踏	〔※󰃏※󰂾※󰃂※󰃋☯khij※〕
踐	〔※󰃏※󰂾※󰂇※󰂇☯khaa※〕
踑	〔※󰃏※󰂾※󰀎※󰄦☯khdw※〕
踒	〔※󰃏※󰂾※󰄌※󰄟☯khtv※〕
踓	〔※󰃏※󰂾※󰄥※󰁷☯khwy※〕
踔	〔※󰃏※󰂾※󰀥※󰃌☯khhj※〕
踕	〔※󰃏※󰂾※󰂶※󰁾☯khgh※〕
踖	〔※󰃏※󰂾※󰁺※󰃊☯khaj※〕
踗	〔※󰃏※󰂾※󰄤※󰃢☯khwn※〕
踘	〔※󰃏※󰂾※󰃷※󰃪☯khqo※〕
踙	〔※󰃏※󰂾※󰂐※󰂘☯khbc※〕
踚	〔※󰃏※󰂾※󰄤※󰄖☯khwa※〕
踛	〔※󰃏※󰂾※󰂮※󰂮☯khff※〕
踜	〔※󰃏※󰂾※󰂮※󰄐☯khft※〕
踝	〔※󰃏※󰂾※󰃋※󰄅☯khjs※〕
踞	〔※󰃏※󰂾※󰃡※󰂟☯khnd※〕
踟	〔※󰃏※󰂾※󰁿※󰃏☯khtk※〕
踠	〔※󰃏※󰂾※󰃰※󰂑☯khpb※〕
踡	〔※󰃏※󰂾※󰄒※󰂑☯khub※〕
踢	〔※󰃏※󰂾※󰃋※󰁤☯khjr※〕
踣	〔※󰃏※󰂾※󰄓※󰃏☯khuk※〕
踤	〔※󰃏※󰂾※󰄶※󰂱☯khyf※〕
踥	〔※󰃏※󰂾※󰄓※󰄟☯khuv※〕
踦	〔※󰃏※󰂾※󰂝※󰃏☯khdk※〕
踧	〔※󰃏※󰂾※󰂽※󰂘☯khhc※〕
踨	〔※󰃏※󰂾※󰄤※󰁾☯khwh※〕
踩	〔※󰃏※󰂾※󰂦※󰄅☯khes※〕
踪	〔※󰃏※󰂾※󰃰※󰃅☯khpi※〕
踫	〔※󰃏※󰂾※󰄕※󰃬☯khuo※〕
踬	〔※󰃏※󰂾※󰃼※󰃚☯khrm※〕
踭	〔※󰃏※󰂾※󰃸※󰂻☯khqh※〕
踮	〔※󰃏※󰂾※󰃫※󰃏☯khok※〕
踯	〔※󰃏※󰂾※󰄕※󰂏☯khub※〕
踰	〔※󰃏※󰂾※󰄤※󰃉☯khwj※〕
踱	〔※󰃏※󰂾※󰃫※󰂘☯khoc※〕
踲	〔※󰃏※󰂾※󰃼※󰂼☯khrh※〕
踳	〔※󰃏※󰂾※󰂜※󰃊☯khdj※〕
踴	〔※󰃏※󰂾※󰁻※󰂫☯khce※〕
踵	〔※󰃏※󰂾※󰄋※󰂮☯khtf※〕
踶	〔※󰃏※󰂾※󰃊※󰁾☯khjh※〕
踷	〔※󰃏※󰂾※󰂮※󰃊☯khfj※〕
踸	〔※󰃏※󰂾※󰀎※󰄃☯khdn※〕
踹	〔※󰃏※󰂾※󰃘※󰀭☯khmj※〕
踺	〔※󰃏※󰂾※󰁬※󰃯☯khvp※〕
踻	〔※󰃏※󰂾※󰀿※󰃏☯khmk※〕
踼	〔※󰃏※󰂾※󰃊※󰁤☯khjr※〕
踽	〔※󰃏※󰂾※󰄋※󰄼☯khty※〕
踾	〔※󰃏※󰂾※󰂶※󰃐☯khgl※〕
踿	〔※󰃏※󰂾※󰄌※󰃩☯khto※〕
蹀	〔※󰃏※󰂾※󰂊※󰄅☯khas※〕
蹁	〔※󰃏※󰂾※󰄼※󰄖☯khya※〕
蹂	〔※󰃏※󰂾※󰁻※󰄅☯khcs※〕
蹃	〔※󰃏※󰂾※󰄖※󰃏☯khak※〕
蹄	〔※󰃏※󰂾※󰄶※󰂺☯khyh※〕
蹅	〔※󰃏※󰂾※󰄅※󰂶☯khsg※〕
蹆	〔※󰃏※󰂾※󰄣※󰃮☯khvp※〕
蹇	〔※󰃰※󰀀※󰄦※󰁾☯pawh※〕
蹈	〔※󰃏※󰂾※󰂦※󰂪☯khee※〕
蹉	〔※󰃏※󰂾※󰄝※󰂆☯khua※〕
蹊	〔※󰃏※󰂾※󰂦※󰂝☯khed※〕
蹋	〔※󰃏※󰂾※󰃋※󰃥☯khjn※〕
蹌	〔※󰃏※󰂾※󰄤※󰃏☯khwk※〕
蹍	〔※󰃏※󰂾※󰃡※󰀖☯khne※〕
蹎	〔※󰃏※󰂾※󰂱※󰄦☯khfw※〕
蹏	〔※󰃏※󰂾※󰃼※󰄨☯khrw※〕
蹐	〔※󰃏※󰂾※󰀪※󰂧☯khie※〕
蹑	〔※󰃏※󰂾※󰂐※󰂘☯khbc※〕
蹒	〔※󰃏※󰂾※󰄖※󰄤☯khaw※〕
蹓	〔※󰃏※󰂾※󰁚※󰃐☯khql※〕
蹔	〔※󰃗※󰄀※󰃏※󰁾☯lrkh※〕
蹕	〔※󰃏※󰂾※󰃋※󰀟☯khjg※〕
蹖	〔※󰃏※󰂾※󰂜※󰂪☯khde※〕
蹗	〔※󰃏※󰂾※󰁙※󰄮☯khox※〕
蹘	〔※󰃏※󰂾※󰃥※󰂥☯khne※〕
蹙	〔※󰂤※󰂽※󰃅※󰁾☯dhih※〕
蹚	〔※󰃏※󰂾※󰃆※󰂮☯khif※〕
蹛	〔※󰃏※󰂾※󰂊※󰂺☯khah※〕
蹜	〔※󰃏※󰂾※󰃰※󰃊☯khpj※〕
蹝	〔※󰃏※󰂾※󰄎※󰁾☯khth※〕
蹞	〔※󰃏※󰂾※󰁴※󰃛☯khxm※〕
蹟	〔※󰃏※󰂾※󰁽※󰃛☯khgm※〕
蹠	〔※󰃏※󰂾※󰃫※󰃨☯khoo※〕
蹡	〔※󰃏※󰂾※󰄗※󰂳☯khuf※〕
蹢	〔※󰃏※󰂾※󰄶※󰂟☯khyd※〕
蹣	〔※󰃏※󰂾※󰂊※󰄼☯khay※〕
蹤	〔※󰃏※󰂾※󰄎※󰁾☯khth※〕
蹥	〔※󰃏※󰂾※󰃗※󰃮☯khlp※〕
蹦	〔※󰃏※󰂾※󰃘※󰂧☯khme※〕
蹧	〔※󰃏※󰂾※󰂶※󰃊☯khgj※〕
蹨	〔※󰃏※󰂾※󰁝※󰃨☯khqo※〕
蹩	〔※󰃇※󰄏※󰃏※󰁾☯itkh※〕
蹪	〔※󰃏※󰂾※󰃏※󰃛☯khkm※〕
蹫	〔※󰃏※󰂾※󰁻※󰃏☯khck※〕
蹬	〔※󰃏※󰂾※󰄧※󰄕☯khwu※〕
蹭	〔※󰃏※󰂾※󰄒※󰃊☯khuj※〕
蹮	〔※󰃏※󰂾※󰄈※󰃠☯khsn※〕
蹯	〔※󰃏※󰂾※󰄋※󰃐☯khtl※〕
蹰	〔※󰃏※󰂾※󰂡※󰂳☯khdf※〕
蹱	〔※󰃏※󰂾※󰄓※󰂮☯khuf※〕
蹲	〔※󰃏※󰂾※󰄒※󰂳☯khuf※〕
蹳	〔※󰃏※󰂾※󰄧※󰂘☯khwc※〕
蹴	〔※󰃏※󰂾※󰁸※󰄼☯khyy※〕
蹵	〔※󰁸※󰃅※󰁼※󰁾☯yidh※〕
蹶	〔※󰃏※󰂾※󰂡※󰄤☯khdw※〕
蹷	〔※󰂡※󰄕※󰂔※󰁾☯dubh※〕
蹸	〔※󰃏※󰂾※󰃪※󰂅☯khog※〕
蹹	〔※󰃏※󰂾※󰄤※󰃥☯khwn※〕
蹺	〔※󰃏※󰂾※󰂮※󰃺☯khfq※〕
蹻	〔※󰃏※󰂾※󰄋※󰃏☯khtk※〕
蹼	〔※󰃏※󰂾※󰃬※󰂹☯khog※〕
蹽	〔※󰃏※󰂾※󰂝※󰃅☯khdi※〕
蹾	〔※󰃏※󰂾※󰁸※󰄏☯khyt※〕
蹿	〔※󰃏※󰂾※󰃰※󰂺☯khph※〕
