⺁	〔※󰃼※󰄋※󰄋※☯rtt☯※〕
蛿	〔※󰃍※󰄤※󰄼※󰃏☯jwyk☯hàn※〕
蜀	〔※󰃔※󰃷※󰃍※󰁧☯lqju☯shǔ※〕
蜁	〔※󰃍※󰁿※󰃦※󰁾☯jtnh☯xuán※〕
蜂	〔※󰃍※󰄐※󰂜※󰂺☯jtdh☯fēng※〕
蜃	〔※󰂡※󰂭※󰀖※󰃍☯dfej☯shèn※〕
蜄	〔※󰃍※󰂡※󰂭※󰀖☯jdfe☯shèn※〕
蜅	〔※󰃍※󰄊※󰁶※☯jsy☯fǔ※〕
蜆	〔※󰃍※󰂼※󰃺※󰁀☯jhqn☯xiǎn※〕
蜇	〔※󰃿※󰄀※󰃍※󰁧☯rrju☯zhé※〕
蜈	〔※󰃍※󰃏※󰂶※󰂝☯jkgd☯wú※〕
蜉	〔※󰃍※󰂦※󰂍※󰀝☯jebg☯fú※〕
蜊	〔※󰃍※󰄌※󰃉※󰀢☯jtjh☯lì※〕
蜋	〔※󰃍※󰄼※󰄣※󰁶☯jyvy☯láng※〕
蜌	〔※󰃍※󰁴※󰄮※󰂮☯jxxf☯bì※〕
蜍	〔※󰃍※󰄤※󰂶※󰄉☯jwgs☯chú※〕
蜎	〔※󰃍※󰃏※󰂧※󰀝☯jkeg☯yuān※〕
蜏	〔※󰃍※󰄌※󰂖※󰁥☯jtbt☯yǒu※〕
蜐	〔※󰃍※󰂮※󰂙※󰂫☯jfce☯jié※〕
蜑	〔※󰄋※󰀥※󰄃※󰃍☯thnj☯dàn※〕
蜒	〔※󰃍※󰄋※󰀥※󰃯☯jthp☯yán※〕
蜓	〔※󰃍※󰄋※󰂯※󰃯☯jtfp☯tíng※〕
蜔	〔※󰃍※󰃷※󰃐※󰀝☯jqlg☯diàn※〕
蜕	〔※󰃍※󰄒※󰃏※󰃺☯jukq☯tuì※〕
蜖	〔※󰃍※󰃒※󰀭※󰂭☯jljf☯huí※〕
蜗	〔※󰃍※󰃏※󰃜※󰄤☯jkmw☯wō※〕
蜘	〔※󰃍※󰁿※󰂝※󰃏☯jtdk☯zhī※〕
蜙	〔※󰃍※󰄅※󰄦※󰂙☯jswc☯zhōng※〕
蜚	〔※󰂺※󰂜※󰂺※󰃍☯hdhj☯fēi※〕
蜛	〔※󰃍※󰃡※󰂟※󰀝☯jndg☯jū※〕
蜜	〔※󰃰※󰃢※󰄋※󰃍☯pntj☯mì※〕
蜝	〔※󰀎※󰄦※󰃍※󰁧☯dwju☯qí※〕
蜞	〔※󰃍※󰀎※󰄦※󰁶☯jdwy☯qí※〕
蜟	〔※󰃍※󰄶※󰂙※󰂧☯jyce☯yù※〕
蜠	〔※󰃍※󰃒※󰄌※󰁶☯jlty☯jùn※〕
蜡	〔※󰃍※󰁺※󰃊※󰀝☯jajg☯là※〕
蜢	〔※󰃍※󰂍※󰃕※󰀝☯jblg☯měng※〕
蜣	〔※󰃍※󰄝※󰄻※󰁀☯junn☯qiāng※〕
蜤	〔※󰄅※󰄀※󰃍※󰁧☯srju☯sī※〕
蜥	〔※󰃍※󰄅※󰄀※󰀢☯jsrh☯xī※〕
蜦	〔※󰃍※󰄤※󰂶※󰄖☯jwga☯lún※〕
蜧	〔※󰃍※󰄼※󰃡※󰂣☯jynd☯lì※〕
蜨	〔※󰃍※󰂶※󰁬※󰁾☯jgvh☯dié※〕
蜩	〔※󰃍※󰀼※󰂮※󰃏☯jmfk☯tiáo※〕
蜪	〔※󰃍※󰃷※󰁿※󰂔☯jqtb☯táo※〕
蜫	〔※󰃍※󰃋※󰁴※󰄮☯jjxx☯kūn※〕
蜬	〔※󰃍※󰂒※󰀪※󰂔☯jbib☯hán※〕
蜭	〔※󰃍※󰃸※󰂪※󰀝☯jqeg☯hàn※〕
蜮	〔※󰃍※󰂇※󰃏※󰀞☯jakg☯yù※〕
蜯	〔※󰃍※󰂜※󰄤※󰀟☯jdwg☯bàng※〕
蜰	〔※󰂧※󰂚※󰃍※󰁧☯ecju☯féi※〕
蜱	〔※󰃍※󰃽※󰄋※󰂱☯jrtf☯pí※〕
蜲	〔※󰃍※󰄌※󰄟※󰀝☯jtvg☯wēi※〕
蜳	〔※󰃍※󰁸※󰂍※󰀝☯jybg☯dūn※〕
蜴	〔※󰃍※󰃋※󰃷※󰁤☯jjqr☯yì※〕
蜵	〔※󰃍※󰀲※󰂶※󰀝☯jjgg☯yuān※〕
蜶	〔※󰃍※󰄶※󰄤※󰂱☯jywf☯suò※〕
蜷	〔※󰃍※󰄒※󰂹※󰂑☯jugb☯quán※〕
蜸	〔※󰂋※󰂺※󰁃※󰃍☯ahnj☯qiǎn※〕
蜹	〔※󰃍※󰄖※󰃜※󰄤☯jamw☯ruì※〕
蜺	〔※󰃍※󰂪※󰃺※󰁀☯jeqn☯ní※〕
蜻	〔※󰃍※󰁽※󰂧※󰀝☯jgeg☯qīng※〕
蜼	〔※󰃍※󰄥※󰁷※󰀝☯jwyg☯wèi※〕
蜽	〔※󰃍※󰂶※󰃜※󰄼☯jgmy☯liǎng※〕
蜾	〔※󰃍※󰃋※󰄅※󰁶☯jjsy☯guǒ※〕
蜿	〔※󰃍※󰃰※󰃹※󰂑☯jpqb☯wān※〕
蝀	〔※󰃍※󰄅※󰃋※󰀝☯jsjg☯dōng※〕
蝁	〔※󰂶※󰀚※󰂶※󰃍☯gfgj☯è※〕
蝂	〔※󰃍※󰄋※󰂺※󰂘☯jthc☯bǎn※〕
蝃	〔※󰃍※󰂘※󰂘※󰂘☯jccc☯dì※〕
蝄	〔※󰃍※󰃜※󰄕※󰄃☯jmun☯wǎng※〕
蝅	〔※󰂶※󰂝※󰂶※󰃍☯gdgj☯cán※〕
蝆	〔※󰃍※󰂺※󰂶※󰂰☯jhgf☯yǎng※〕
蝇	〔※󰃍※󰃏※󰃋※󰄻☯jkjn☯yíng※〕
蝈	〔※󰃍※󰃒※󰂷※󰄼☯jlgy☯guō※〕
蝉	〔※󰃍※󰄒※󰃋※󰂱☯jujf☯chán※〕
蝊	〔※󰃍※󰃰※󰂶※󰁾☯jpgh☯dìng※〕
蝋	〔※󰃍※󰀧※󰁰※󰀟☯jiwg☯là※〕
蝌	〔※󰃍※󰄌※󰁦※󰂱☯jtuf☯kē※〕
蝍	〔※󰃍※󰁮※󰂕※󰀢☯jvbh☯jí※〕
蝎	〔※󰃍※󰃋※󰃷※󰄃☯jjqn☯xiē※〕
蝏	〔※󰃍※󰁸※󰃱※󰄆☯jyps☯tíng※〕
蝐	〔※󰃍※󰀰※󰂼※󰀝☯jjhg☯mào※〕
蝑	〔※󰃍※󰃦※󰁾※󰂧☯jnhe☯xū※〕
蝒	〔※󰃍※󰂢※󰃒※󰂭☯jdlf☯mián※〕
蝓	〔※󰃍※󰄤※󰂶※󰃉☯jwgj☯yú※〕
蝔	〔※󰃍※󰁴※󰄮※󰃽☯jxxr☯jiē※〕
蝕	〔※󰁱※󰁫※󰃍※󰁶☯wvjy☯shí※〕
蝖	〔※󰃍※󰃰※󰂶※󰂶☯jpgg☯xuān※〕
蝗	〔※󰃍※󰃽※󰂷※󰀝☯jrgg☯huáng※〕
蝘	〔※󰃍※󰂋※󰃋※󰄟☯jajv☯yǎn※〕
蝙	〔※󰃍※󰄼※󰃡※󰄖☯jyna☯biān※〕
蝚	〔※󰃍※󰁻※󰃦※󰄅☯jcns☯róu※〕
蝛	〔※󰃍※󰂤※󰂶※󰄟☯jdgv☯wēi※〕
蝜	〔※󰃍※󰃸※󰃛※󰁶☯jqmy☯fù※〕
蝝	〔※󰃍※󰄰※󰀓※󰁶☯jxey☯yuán※〕
蝞	〔※󰃍※󰁅※󰂼※󰀝☯jnhg☯mèi※〕
蝟	〔※󰃍※󰃐※󰂧※󰀝☯jleg☯wèi※〕
蝠	〔※󰃍※󰂶※󰃏※󰃐☯jgkl☯fú※〕
蝡	〔※󰃍※󰂢※󰃜※󰂝☯jdmd☯rú※〕
蝢	〔※󰃍※󰂢※󰃛※󰁶☯jdmy☯xié※〕
蝣	〔※󰃍※󰄸※󰁿※󰂍☯jytb☯yóu※〕
蝤	〔※󰃍※󰄒※󰄇※󰂶☯jusg☯qiú※〕
蝥	〔※󰁻※󰃦※󰂻※󰃍☯cnhj☯máo※〕
蝦	〔※󰃍※󰁃※󰂺※󰂘☯jnhc☯xiā※hā※〕
蝧	〔※󰃍※󰄖※󰀿※󰂝☯jamd☯yīng※〕
蝨	〔※󰄺※󰂱※󰃍※󰃍☯nfjj☯shī※〕
蝩	〔※󰃍※󰄋※󰂶※󰂮☯jtgf☯chóng※〕
蝪	〔※󰃍※󰃋※󰂶※󰁤☯jjgr☯tāng※〕
蝫	〔※󰃍※󰂮※󰄋※󰃊☯jftj☯zhū※〕
蝬	〔※󰃍※󰄄※󰂔※󰄐☯jrbt☯zōng※〕
蝭	〔※󰃍※󰃋※󰂶※󰁾☯jjgh☯dì※〕
蝮	〔※󰃍※󰁿※󰃋※󰄐☯jtjt☯fù※〕
蝯	〔※󰃍※󰂦※󰂶※󰂘☯jegc☯yuán※〕
蝰	〔※󰃍※󰂝※󰂮※󰂮☯jdff☯kuí※〕
蝱	〔※󰄶※󰄃※󰃍※󰃍☯ynjj☯méng※〕
蝲	〔※󰃍※󰄅※󰃏※󰃉☯jskj☯là※〕
蝳	〔※󰃍※󰁽※󰄭※󰁶☯jgxy☯dài※〕
蝴	〔※󰃍※󰂟※󰂧※󰀝☯jdeg☯hú※〕
蝵	〔※󰄌※󰃩※󰃍※󰁧☯toju☯qiū※〕
蝶	〔※󰃍※󰂊※󰄃※󰄅☯jans☯dié※〕
蝷	〔※󰃍※󰃫※󰄕※󰄋☯jout☯lì※〕
蝸	〔※󰃍※󰀿※󰁈※󰃏☯jmnk☯wō※〕
蝹	〔※󰃍※󰃋※󰃕※󰀝☯jjlg☯yūn※〕
蝺	〔※󰃍※󰄋※󰃏※󰄼☯jtky☯qǔ※〕
蝻	〔※󰃍※󰂱※󰃜※󰂱☯jfmf☯nǎn※〕
蝼	〔※󰃍※󰃪※󰄟※󰀝☯jovg☯lóu※〕
蝽	〔※󰃍※󰂜※󰄤※󰃊☯jdwj☯chūn※〕
蝾	〔※󰃍※󰄖※󰃱※󰄅☯japs☯róng※〕
蝿	〔※󰃍※󰃋※󰃋※󰄻☯jjjn☯yíng※〕
螀	〔※󰄿※󰃹※󰂳※󰃍☯uqfj☯jiāng※〕
螁	〔※󰃍※󰄣※󰃮※󰁶☯jvpy☯tuì※〕
螂	〔※󰃍※󰄼※󰁮※󰂏☯jyvb☯láng※〕
螃	〔※󰃍※󰄶※󰄒※󰄸☯jyuy☯páng※〕
螄	〔※󰃍※󰄋※󰃧※󰂺☯jtnh☯sī※〕
螅	〔※󰃍※󰄋※󰂼※󰃢☯jthn☯xī※〕
螆	〔※󰃍※󰄕※󰄩※󰄩☯juxx☯cì※〕
螇	〔※󰃍※󰂦※󰄩※󰂝☯jexd☯xī※qī※〕
螈	〔※󰃍※󰂡※󰃽※󰃅☯jdri☯yuán※〕
螉	〔※󰃍※󰄦※󰂙※󰃥☯jwcn☯wēng※〕
螊	〔※󰃍※󰄕※󰁬※󰄦☯juvw☯lián※〕
螋	〔※󰃍※󰂪※󰂺※󰂘☯jehc☯sōu※〕
螌	〔※󰄋※󰁪※󰄨※󰃍☯tuwj☯bān※〕
融	〔※󰂶※󰃏※󰃜※󰃍☯gkmj☯róng※〕
螎	〔※󰃍※󰂶※󰃏※󰂺☯jgkh☯róng※〕
螏	〔※󰃍※󰄛※󰁿※󰂝☯jutd☯jí※〕
螐	〔※󰃍※󰁞※󰃨※󰁶☯jqoy☯wū※〕
螑	〔※󰃍※󰄋※󰂼※󰂣☯jthd☯xiù※〕
螒	〔※󰂱※󰃌※󰄤※󰃍☯fjwj☯hàn※〕
螓	〔※󰃍※󰂜※󰄤※󰄌☯jdwt☯qín※〕
螔	〔※󰃍※󰃼※󰃀※󰄨☯jrhw☯yí※〕
螕	〔※󰃍※󰄋※󰃒※󰄮☯jtlx☯bī※pí※〕
螖	〔※󰃍※󰀾※󰂧※󰀝☯jmeg☯huá※〕
螗	〔※󰃍※󰃫※󰁬※󰃏☯jovk☯táng※〕
螘	〔※󰃍※󰃘※󰂶※󰄕☯jmgu☯yǐ※〕
螙	〔※󰄅※󰃍※󰃍※󰁧☯sjju☯dù※〕
螚	〔※󰂙※󰂧※󰄮※󰃍☯cexj☯nài※něng※〕
螛	〔※󰃍※󰃰※󰂜※󰃏☯jpdk☯hé※xiá※〕
螜	〔※󰂯※󰃱※󰂶※󰃍☯fpgj☯hú※〕
螝	〔※󰃍※󰃽※󰁜※󰂙☯jrqc☯guì※huǐ※〕
螞	〔※󰃍※󰀋※󰃨※󰁶☯jcoy☯mǎ※mā※mà※〕
螟	〔※󰃍※󰃱※󰃋※󰄘☯jpju☯míng※〕
螠	〔※󰃍※󰄕※󰄦※󰃕☯juwl☯yì※〕
螡	〔※󰄷※󰃍※󰃍※󰁧☯yjju☯wén※〕
螢	〔※󰃩※󰃩※󰃱※󰃍☯oopj☯yíng※〕
螣	〔※󰂧※󰄒※󰂹※󰃍☯eugj☯téng※〕
螤	〔※󰄷※󰃍※󰃋※󰄤☯yjjw☯zhōng※〕
螥	〔※󰃍※󰄤※󰄼※󰃏☯jwyk☯cāng※〕
螦	〔※󰃍※󰁽※󰄩※󰃅☯jgxi☯sāo※〕
螧	〔※󰃍※󰂮※󰄋※󰃊☯jftj☯qí※〕
螨	〔※󰃍※󰄖※󰂶※󰄤☯jagw☯mǎn※〕
螩	〔※󰃍※󰄥※󰂺※󰄉☯jwhs☯dāo※〕
螪	〔※󰃍※󰄶※󰄒※󰃏☯jyuk☯shāng※〕
螫	〔※󰂮※󰁖※󰄏※󰃍☯fotj☯shì※zhē※〕
螬	〔※󰃍※󰂶※󰀿※󰃊☯jgmj☯cáo※〕
螭	〔※󰃍※󰄶※󰄄※󰂙☯jyrc☯chī※〕
螮	〔※󰃍※󰂊※󰃺※󰂺☯jaqh☯dì※〕
螯	〔※󰁽※󰁡※󰄏※󰃍☯gqtj☯áo※〕
螰	〔※󰃍※󰁙※󰁴※󰄮☯joxx☯lù※〕
螱	〔※󰃡※󰂭※󰃅※󰃍☯nfij☯wèi※〕
螲	〔※󰃍※󰃰※󰄦※󰂮☯jpwf☯dié※zhì※〕
螳	〔※󰃍※󰃆※󰃱※󰂮☯jipf☯táng※〕
螴	〔※󰂏※󰄅※󰃋※󰃍☯bsjj☯chén※〕
螵	〔※󰃍※󰄈※󰂭※󰃅☯jsfi☯piāo※〕
螶	〔※󰂋※󰁃※󰃍※󰃍☯anjj☯qú※jù※〕
螷	〔※󰃫※󰃽※󰄋※󰃍☯ortj☯pí※〕
螸	〔※󰄦※󰄤※󰃏※󰃍☯wwkj☯yú※〕
螹	〔※󰃍※󰃗※󰄀※󰀢☯jlrh☯chán※jiàn※〕
螺	〔※󰃍※󰃐※󰄩※󰃅☯jlxi☯luó※〕
螻	〔※󰃍※󰀻※󰄟※󰀝☯jlvg☯lóu※〕
螼	〔※󰃍※󰂊※󰃏※󰁽☯jakg☯qǐn※〕
螽	〔※󰄐※󰁦※󰃍※󰃍☯tujj☯zhōng※〕
螾	〔※󰃍※󰃰※󰂶※󰄦☯jpgw☯yǐn※〕
螿	〔※󰄗※󰁝※󰂳※󰃍☯uqfj☯jiāng※〕
蟀	〔※󰃍※󰄶※󰄩※󰂱☯jyxf☯shuài※〕
蟁	〔※󰁂※󰀁※󰃍※󰃍☯najj☯wén※〕
蟂	〔※󰃍※󰁟※󰄅※󰁶☯jqsy☯xiāo※〕
蟃	〔※󰃍※󰃋※󰃔※󰂘☯jjlc☯wàn※〕
蟄	〔※󰂮※󰄕※󰂱※󰃍☯fufj☯zhé※〕
蟅	〔※󰃍※󰃫※󰂊※󰃨☯joao☯zhè※〕
蟆	〔※󰃍※󰄖※󰃋※󰂝☯jajd☯má※mò※〕
蟇	〔※󰄖※󰃋※󰂝※󰃍☯ajdj☯má※〕
蟈	〔※󰃍※󰃒※󰂇※󰀞☯jlag☯guō※〕
蟉	〔※󰃍※󰃥※󰄤※󰂥☯jnwe☯liú※〕
蟊	〔※󰁻※󰃦※󰂻※󰃍☯cnhj☯máo※〕
蟋	〔※󰃍※󰄋※󰃪※󰃢☯jton☯xī※〕
蟌	〔※󰃍※󰄋※󰃒※󰃢☯jtln☯cōng※〕
蟍	〔※󰃍※󰄌※󰃉※󰄅☯jtjs☯lí※〕
蟎	〔※󰃍※󰂊※󰃜※󰄼☯jamy☯mǎn※〕
蟏	〔※󰃍※󰄖※󰁬※󰄦☯javw☯xiāo※〕
蟐	〔※󰃍※󰃆※󰃱※󰂺☯jiph☯chán※〕
蟑	〔※󰃍※󰄓※󰃌※󰀢☯jujh☯zhāng※〕
蟒	〔※󰃍※󰄖※󰂣※󰂉☯jada☯mǎng※měng※〕
蟓	〔※󰃍※󰃸※󰃏※󰀓☯jqke☯xiàng※〕
蟔	〔※󰃍※󰀹※󰂮※󰃨☯jlfo☯mò※〕
蟕	〔※󰃍※󰂾※󰄮※󰂨☯jhxe☯zuī※〕
蟖	〔※󰃍※󰀎※󰄦※󰄀☯jdwr☯sī※〕
蟗	〔※󰂶※󰃏※󰂺※󰃍☯gkhj☯qiū※〕
蟘	〔※󰃍※󰄥※󰀁※󰃛☯jwam☯tè※〕
蟙	〔※󰃍※󰄶※󰄒※󰃊☯jyuj☯zhí※〕
蟚	〔※󰂯※󰃏※󰄕※󰃍☯fkuj☯péng※〕
蟛	〔※󰃍※󰂯※󰃏※󰂥☯jfke☯péng※〕
蟜	〔※󰃍※󰄋※󰂝※󰃏☯jtdk☯jiǎo※〕
蟝	〔※󰃍※󰃁※󰂋※󰄅☯jias☯qú※〕
蟞	〔※󰃇※󰄏※󰃍※󰁧☯itju☯biē※bié※〕
蟟	〔※󰃍※󰂝※󰄒※󰃅☯jdui☯liáo※〕
蟠	〔※󰃍※󰄋※󰃪※󰃐☯jtol☯pán※〕
蟡	〔※󰃍※󰂦※󰄋※󰃨☯jeto☯guǐ※〕
蟢	〔※󰃍※󰂯※󰃏※󰃏☯jfkk☯xǐ※〕
蟣	〔※󰃍※󰄩※󰄩※󰄤☯jxxw☯jǐ※〕
蟤	〔※󰃍※󰃠※󰃠※󰄦☯jnnw☯zhuān※〕
蟥	〔※󰃍※󰁺※󰃙※󰄦☯jamw☯huáng※〕
蟦	〔※󰃍※󰂱※󰄖※󰃛☯jfam☯fèi※bēn※〕
蟧	〔※󰃍※󰃩※󰃩※󰂫☯jooe☯láo※liáo※〕
蟨	〔※󰂡※󰄕※󰂔※󰃍☯dubj☯jué※〕
蟩	〔※󰃍※󰂡※󰄕※󰄤☯jduw☯jué※〕
蟪	〔※󰃍※󰂶※󰃋※󰃢☯jgjn☯huì※〕
蟫	〔※󰃍※󰄈※󰃌※󰀢☯jsjh☯yín※xún※〕
蟬	〔※󰃍※󰃏※󰃏※󰂱☯jkkf☯chán※〕
蟭	〔※󰃍※󰄥※󰁷※󰃨☯jwyo☯jiāo※〕
蟮	〔※󰃍※󰄜※󰄕※󰃏☯juuk☯shàn※〕
蟯	〔※󰃍※󰂮※󰂮※󰃺☯jffq☯náo※〕
蟰	〔※󰃍※󰁬※󰂱※󰀲☯jvfj☯xiāo※〕
蟱	〔※󰃍※󰁿※󰂶※󰃨☯jtgo☯wú※〕
蟲	〔※󰃍※󰃍※󰃍※󰁧☯jjju☯chóng※〕
蟳	〔※󰃍※󰁬※󰂆※󰂳☯jvaf☯xún※〕
蟴	〔※󰀎※󰄦※󰄀※󰃍☯dwrj☯sī※〕
蟵	〔※󰃍※󰂡※󰂶※󰂳☯jdgf☯chú※〕
蟶	〔※󰃍※󰂐※󰃏※󰂷☯jbkg☯chēng※〕
蟷	〔※󰃍※󰃆※󰃱※󰃐☯jipl☯dāng※〕
蟸	〔※󰂶※󰀓※󰃍※󰃍☯gejj☯lí※〕
蟹	〔※󰃸※󰂨※󰄠※󰃍☯qevj☯xiè※〕
蟺	〔※󰃍※󰄶※󰃒※󰂶☯jylg☯shàn※〕
蟻	〔※󰃍※󰄒※󰂷※󰄼☯jugy☯yǐ※〕
蟼	〔※󰄖※󰃷※󰃏※󰃍☯aqkj☯jǐng※〕
蟽	〔※󰃍※󰂮※󰄜※󰃮☯jfup☯dá※〕
蟾	〔※󰃍※󰃸※󰂡※󰄳☯jqdy☯chán※〕
蟿	〔※󰃗※󰂔※󰄨※󰃍☯lbwj☯qì※〕
蠀	〔※󰃍※󰄑※󰄾※󰃛☯juqm☯cī※〕
蠁	〔※󰁲※󰄋※󰄼※󰃍☯xtyj☯xiǎng※〕
蠂	〔※󰃍※󰄖※󰂊※󰄅☯jaas☯shè※〕
蠃	〔※󰄹※󰂧※󰃍※󰄼☯yejy☯luǒ※〕
蠄	〔※󰃍※󰄤※󰄶※󰂙☯jwyc☯qín※〕
蠅	〔※󰃍※󰄱※󰀝※☯jxg☯yíng※〕
蠆	〔※󰄖※󰃋※󰃜※󰃍☯ajmj☯chài※〕
蠇	〔※󰃍※󰄖※󰃋※󰄼☯jajy☯lì※〕
蠈	〔※󰃛※󰂇※󰁼※󰃍☯madj☯zéi※〕
蠉	〔※󰃍※󰃔※󰂶※󰀔☯jlge☯xuān※〕
蠊	〔※󰃍※󰃫※󰄕※󰄦☯jouw☯lián※〕
蠋	〔※󰃍※󰃔※󰃷※󰃍☯jlqj☯zhú※〕
蠌	〔※󰃍※󰃔※󰂮※󰂱☯jlff☯zé※〕
蠍	〔※󰃍※󰃊※󰃷※󰄤☯jjqw☯xiē※〕
蠎	〔※󰃍※󰄖※󰂝※󰂉☯jada☯mǎng※〕
蠏	〔※󰃍※󰃸※󰂨※󰀟☯jqeg☯xiè※〕
蠐	〔※󰃍※󰀴※󰀳※󰀝☯jyjg☯qí※〕
蠑	〔※󰃍※󰃩※󰃩※󰄅☯joos☯róng※〕
蠒	〔※󰂶※󰄦※󰃜※󰃍☯gwmj☯jiǎn※〕
蠓	〔※󰃍※󰄖※󰃱※󰀓☯jape☯měng※〕
蠔	〔※󰃍※󰁸※󰃱※󰀓☯jype☯háo※〕
蠕	〔※󰃍※󰀙※󰂢※󰀭☯jfdj☯rú※〕
蠖	〔※󰃍※󰄖※󰄥※󰂘☯jawc☯huò※〕
蠗	〔※󰃍※󰃥※󰄥※󰁷☯jnwy☯zhuó※〕
蠘	〔※󰃍※󰂱※󰂇※󰁷☯jfay☯jié※〕
蠙	〔※󰃍※󰃰※󰂶※󰃛☯jpgm☯pín※〕
蠚	〔※󰄖※󰁼※󰃏※󰃍☯adkj☯hē※〕
蠛	〔※󰃍※󰄖※󰃔※󰄤☯jalw☯miè※〕
蠜	〔※󰄅※󰄄※󰄄※󰃍☯srrj☯fán※〕
蠝	〔※󰃍※󰃐※󰃐※󰃐☯jlll☯lěi※〕
蠞	〔※󰄍※󰁮※󰂕※󰃍☯tvbj☯jié※〕
蠟	〔※󰃍※󰄞※󰃒※󰁒☯jvln☯là※〕
蠠	〔※󰂢※󰃒※󰀭※󰃍☯dljj☯mǐn※〕
蠡	〔※󰄰※󰀓※󰃍※󰃍☯xejj☯lǐ※〕
蠢	〔※󰂜※󰄤※󰃊※󰃍☯dwjj☯chǔn※〕
蠣	〔※󰃍※󰂡※󰄖※󰄼☯jday☯lì※〕
蠤	〔※󰄒※󰄇※󰂶※󰃍☯usgj☯qiū※〕
蠥	〔※󰂔※󰄋※󰄋※󰃍☯bttj☯niè※〕
蠦	〔※󰃍※󰃀※󰃐※󰃕☯jhll☯lú※〕
蠧	〔※󰂯※󰃱※󰂠※󰃍☯fpdj☯dù※〕
蠨	〔※󰃍※󰄖※󰁬※󰀲☯javj☯xiāo※〕
蠩	〔※󰃍※󰄴※󰂮※󰃊☯jyfj☯zhū※〕
蠪	〔※󰄓※󰂧※󰂶※󰃍☯uegj☯lóng※〕
蠫	〔※󰂩※󰃉※󰃍※󰃍☯ejjj☯lí※〕
蠬	〔※󰃍※󰄓※󰂧※󰂜☯jued☯lóng※〕
蠭	〔※󰄐※󰂜※󰂺※󰃍☯tdhj☯fēng※〕
蠮	〔※󰃍※󰂋※󰁿※󰃥☯jatn☯yē※〕
蠯	〔※󰃫※󰃽※󰄋※󰃍☯ortj☯pí※〕
蠰	〔※󰃍※󰄶※󰃏※󰀔☯jyke☯náng※〕
蠱	〔※󰃍※󰃍※󰃍※󰃕☯jjjl☯gǔ※〕
蠲	〔※󰄕※󰄦※󰃕※󰃍☯uwlj☯juān※〕
蠳	〔※󰃍※󰃛※󰃛※󰄟☯jmmv☯yīng※〕
蠴	〔※󰃍※󰄖※󰃔※󰃊☯jalj☯shǔ※〕
蠵	〔※󰃍※󰃘※󰄥※󰃏☯jmwk☯xī※〕
蠶	〔※󰀄※󰁜※󰀄※󰃍☯aqaj☯cán※〕
蠷	〔※󰃍※󰂼※󰂼※󰁷☯jhhy☯qú※〕
蠸	〔※󰃍※󰄖※󰃏※󰁷☯jaky☯quán※〕
蠹	〔※󰂶※󰃏※󰂺※󰃍☯gkhj☯dù※〕
蠺	〔※󰂶※󰂝※󰂶※󰃍☯gdgj☯cán※〕
蠻	〔※󰄳※󰄫※󰄫※󰃍☯yxxj☯mán※〕
蠼	〔※󰃍※󰂼※󰂼※󰂘☯jhhc☯qú※〕
蠽	〔※󰃅※󰄥※󰁷※󰃍☯iwyj☯jié※〕
蠾	〔※󰃍※󰃡※󰃃※󰃍☯jnij☯zhú※〕
蠿	〔※󰁃※󰄩※󰄩※󰃍☯nxxj☯zhuó※〕
血	〔※󰄋※󰃕※󰀌※☯tld☯xiě※xuè※〕
衁	〔※󰄶※󰄃※󰄋※󰃕☯yntl☯huāng※〕
衂	〔※󰄋※󰃕※󰄠※󰄼☯tlvy☯nǜ※〕
衃	〔※󰄋※󰃕※󰂢※󰂿☯tldh☯pēi※〕
衄	〔※󰄋※󰃕※󰁈※󰂶☯tlng☯nǜ※〕
衅	〔※󰄋※󰃕※󰄒※󰀟☯tlug☯xìn※〕
衆	〔※󰄋※󰃕※󰃈※󰁧☯tliu☯zhòng※〕
衇	〔※󰄋※󰃕※󰃼※󰀕☯tlre☯mài※〕
衈	〔※󰄋※󰃕※󰂐※󰀝☯tlbg☯ěr※〕
衉	〔※󰄋※󰃕※󰄐※󰃏☯tltk☯kè※〕
衊	〔※󰄋※󰃕※󰄖※󰄤☯tlaw☯miè※〕
衋	〔※󰁬※󰀟※󰂢※󰃕☯vgdl☯xì※〕
行	〔※󰄎※󰂶※󰄆※󰀢☯tgsh☯háng※xíng※〕
衍	〔※󰄎※󰃁※󰂶※󰄆☯tigs☯yǎn※〕
衎	〔※󰄎※󰂰※󰂶※󰄆☯tfgs☯kàn※〕
衏	〔※󰄎※󰂭※󰃺※󰄆☯tfqs☯yuàn※〕
衐	〔※󰄎※󰂋※󰁃※󰄆☯tans☯qú※〕
衑	〔※󰄎※󰄤※󰄼※󰄆☯twys☯líng※〕
衒	〔※󰄎※󰄶※󰄩※󰄆☯tyxs☯xuàn※〕
術	〔※󰄎※󰄅※󰄼※󰄆☯tsys☯shù※〕
衔	〔※󰄎※󰃵※󰂶※󰄆☯tqgs☯xián※〕
衕	〔※󰄎※󰃜※󰂶※󰄆☯tmgs☯tòng※〕
衖	〔※󰄎※󰁺※󰄦※󰄆☯taws☯xiàng※〕
街	〔※󰄎※󰂮※󰂮※󰄆☯tffs☯jiē※〕
衘	〔※󰄎※󰁿※󰂶※󰄆☯ttgs☯xián※〕
衙	〔※󰄎※󰂸※󰃏※󰄆☯tgks☯yá※〕
衚	〔※󰄎※󰂟※󰂧※󰄆☯tdes☯hú※〕
衛	〔※󰄎※󰁆※󰃏※󰄆☯tnks☯wèi※〕
